beds,can_instant_book,counter,guests,host_id,latitude,listing_id,longitude,page,rate,reviews_count,room_type,star_rating
3,False,9,4,946616,37.78448987541317,234394,-122.46188101322068,5,245,24,Entire home/apt,5.0
3,True,10,4,21612534,37.7627511369181,13101251,-122.42921351691668,5,265,7,Entire home/apt,5.0
3,False,11,4,69286495,37.79284716178772,12739738,-122.4105175629231,5,365,5,Entire home/apt,5.0
3,True,12,4,3860047,37.80627026553962,738547,-122.41919113250341,5,375,42,Entire home/apt,5.0
2,False,13,4,1190192,37.74248144385686,394575,-122.41068814734358,5,173,213,Entire home/apt,5.0
3,False,14,4,55983066,37.77794411001243,10812630,-122.47992527229822,5,198,37,Entire home/apt,5.0
2,True,15,4,65239845,37.780958364492044,12151345,-122.38928366314279,5,349,17,Entire home/apt,5.0
1,True,16,4,49466361,37.7996485079783,13670210,-122.4385586455578,5,310,1,Entire home/apt,0.0
2,True,17,4,37275502,37.80722537017327,7115664,-122.41620117454389,5,245,28,Entire home/apt,4.5
3,True,18,4,6954280,37.78454795220815,1687330,-122.47520430103457,5,190,33,Entire home/apt,5.0
2,True,1,4,3656373,37.76184005296448,10839194,-122.44134316089843,6,225,35,Entire home/apt,4.5
2,True,2,4,23752034,37.77183313153258,9977811,-122.50180704224452,6,150,5,Entire home/apt,5.0
2,False,3,4,12832831,37.7476714297204,10766080,-122.41482413827079,6,165,27,Entire home/apt,4.5
3,False,4,4,7303214,37.7285684876501,1510363,-122.45214928203588,6,150,124,Entire home/apt,5.0
1,True,5,4,23500389,37.75222671313805,4532551,-122.4285619587197,6,239,56,Entire home/apt,5.0
3,False,6,4,43386321,37.786328992375516,13843165,-122.44633139323047,6,225,0,Entire home/apt,0.0
3,False,7,4,6156130,37.771822841577276,1122014,-122.43083808556167,6,275,92,Entire home/apt,4.5
3,False,8,4,17249115,37.787938735026124,3789600,-122.41736572424713,6,395,103,Entire home/apt,5.0
1,False,9,4,45309506,37.79307770797046,8612964,-122.41481262057246,6,220,4,Entire home/apt,5.0
3,True,10,4,42509574,37.772186286511214,12590307,-122.41112930829094,6,150,3,Entire home/apt,2.5
2,False,11,4,36561131,37.73100211473316,13560820,-122.44247696110173,6,250,0,Entire home/apt,0.0
2,False,12,4,8961836,37.754905397422945,13478765,-122.40002409133422,6,148,0,Entire home/apt,0.0
1,True,13,4,4925259,37.738849303105894,10943827,-122.43594128017625,6,164,31,Entire home/apt,5.0
2,True,14,4,252376,37.78775469122634,53934,-122.41634362452434,6,210,211,Entire home/apt,5.0
2,False,15,4,17074573,37.76010961159043,3384413,-122.41852620133582,6,327,22,Entire home/apt,5.0
1,False,16,4,2506276,37.75566095204132,631635,-122.43453821077964,6,271,207,Entire home/apt,5.0
2,True,17,4,1291328,37.75349984447392,2889301,-122.41575003229678,6,300,45,Entire home/apt,4.5
1,True,18,4,49466361,37.7996485079783,13670210,-122.4385586455578,6,310,1,Entire home/apt,0.0
2,True,1,4,1291328,37.75349984447392,2889301,-122.41575003229678,7,300,45,Entire home/apt,4.5
2,False,2,4,49298580,37.77465105748988,13415594,-122.4979875467042,7,150,0,Entire home/apt,0.0
2,False,3,4,6001829,37.73906812920781,11845487,-122.47727320599903,7,160,5,Entire home/apt,5.0
2,False,4,4,8676376,37.727215892301516,12151600,-122.4195123348258,7,176,14,Entire home/apt,4.5
2,False,5,4,560790,37.77052969007443,578097,-122.42847751507841,7,225,10,Entire home/apt,5.0
3,False,6,4,5042039,37.7998075408936,1686784,-122.40558133852686,7,600,147,Entire home/apt,5.0
5,False,7,4,1656069,37.78118058025808,7344289,-122.46633340770148,7,300,87,Entire home/apt,5.0
2,False,8,4,18949688,37.75315610015589,6505426,-122.43722339511785,7,200,53,Entire home/apt,5.0
3,False,9,4,5042039,37.799219086392725,2417760,-122.40440894872062,7,550,110,Entire home/apt,5.0
2,True,10,4,80829517,37.79966612628989,13772403,-122.4053140370245,7,199,0,Entire home/apt,0.0
1,False,11,4,56076559,37.7840214924038,12175415,-122.46189416111092,7,220,13,Entire home/apt,5.0
2,True,12,4,792371,37.76193630172387,166199,-122.43239202855298,7,215,102,Entire home/apt,5.0
4,False,13,4,4349750,37.74091469503374,1059611,-122.41642570020767,7,264,0,Entire home/apt,0.0
2,False,14,4,14131842,37.745899455332584,4480958,-122.41418513681683,7,240,59,Entire home/apt,5.0
4,False,15,4,27960596,37.76223543284772,5394104,-122.4324121993068,7,295,27,Entire home/apt,4.5
2,True,16,4,25963295,37.78143337110802,9395222,-122.50517932748954,7,175,50,Entire home/apt,4.5
2,False,17,4,2501567,37.71846884869995,2119773,-122.45181280070824,7,200,102,Entire home/apt,5.0
4,False,18,4,1110789,37.78083641745867,275464,-122.44108589732295,7,135,50,Entire home/apt,5.0
2,True,1,4,8097561,37.795763392781105,9605720,-122.40737678778746,8,349,24,Entire home/apt,4.5
1,True,2,4,21340082,37.78440740954486,4323170,-122.39706110492145,8,200,3,Entire home/apt,4.5
3,False,3,4,47334459,37.736897061529156,9075976,-122.50092917328536,8,169,7,Entire home/apt,4.5
2,True,4,4,45697565,37.77084505858908,8705073,-122.43030180786336,8,175,8,Entire home/apt,4.0
3,False,5,4,3336568,37.762087160940446,1915079,-122.43378331938455,8,250,103,Entire home/apt,5.0
2,True,6,4,25963295,37.78143337110802,9395222,-122.50517932748954,8,175,50,Entire home/apt,4.5
2,False,7,4,4183932,37.76004323798801,11610642,-122.4455775222102,8,275,3,Entire home/apt,5.0
2,False,8,4,645093,37.75244678995408,9010937,-122.407056367436,8,295,3,Entire home/apt,4.5
2,False,9,4,5452140,37.77682233022725,7665362,-122.41464688195221,8,230,7,Entire home/apt,5.0
5,False,10,4,66112439,37.79126700371445,13732155,-122.41624010574994,8,555,0,Entire home/apt,0.0
4,False,11,4,19288568,37.781379002664806,13676473,-122.42962891731405,8,300,0,Entire home/apt,0.0
4,False,12,4,32150094,37.76304186019297,9667459,-122.50722478942907,8,335,4,Entire home/apt,5.0
6,False,13,4,45249066,37.797765705803464,8598197,-122.42479461815351,8,700,5,Entire home/apt,5.0
4,True,14,4,15050419,37.77963621921691,13186688,-122.47700031167872,8,400,3,Entire home/apt,5.0
2,False,15,4,1775917,37.78927050011974,1868880,-122.4340669859945,8,395,45,Entire home/apt,5.0
1,False,16,4,1091811,37.76464575320354,2527150,-122.43394416027209,8,189,79,Entire home/apt,4.5
1,False,17,4,1110789,37.75739517562197,10910086,-122.44520982704503,8,150,6,Entire home/apt,5.0
1,False,18,4,58930,37.77495449516485,2049955,-122.46180857184142,8,275,77,Entire home/apt,5.0
4,True,1,4,79107749,37.78813058456459,13674090,-122.44555526447263,9,699,0,Entire home/apt,0.0
6,True,2,4,12575941,37.77679309571193,2459643,-122.47755228779569,9,250,126,Entire home/apt,4.0
2,False,3,4,3452089,37.74057982631064,11434490,-122.41580582791653,9,195,6,Entire home/apt,5.0
3,False,4,4,15698216,37.7283745777878,3689368,-122.39780062685708,9,224,108,Entire home/apt,4.5
2,False,5,4,58770915,37.77541028303258,11260204,-122.50906465976662,9,215,2,Entire home/apt,0.0
