beds,can_instant_book,counter,guests,host_id,latitude,listing_id,longitude,page,rate,reviews_count,room_type,star_rating
5,True,6,4,16681629,41.52518342379536,13310126,-81.64797109889918,7,210,1,Entire home/apt,0.0
2,True,7,4,77378488,41.49979938718588,13495656,-81.68759362950657,7,4000,0,Entire home/apt,0.0
2,False,8,4,64540922,41.497977848879465,12052194,-81.70184705097334,7,800,0,Entire home/apt,0.0
2,False,9,4,14612929,41.49899944670983,13221723,-81.68417097527283,7,749,0,Entire home/apt,0.0
4,False,10,4,33989265,41.49323693382112,6502633,-81.58586416432705,7,290,22,Entire home/apt,5.0
2,True,11,4,8471616,41.48654702832924,13714356,-81.71184043038855,7,500,0,Entire home/apt,0.0
4,True,12,4,7640501,41.47960159739604,13560666,-81.6906370878341,7,100,0,Entire home/apt,0.0
2,True,13,4,20027887,41.49857347355916,13640527,-81.6953663731809,7,550,0,Entire home/apt,0.0
4,False,14,4,80504258,41.43913635027616,13748441,-81.61648515413833,7,1600,0,Entire home/apt,0.0
2,True,15,4,70677477,41.49734744160417,12901806,-81.70192397592498,7,400,0,Entire home/apt,0.0
2,True,16,4,77179893,41.492432990592896,13480324,-81.70546861138078,7,1500,0,Entire home/apt,0.0
2,False,17,4,28066974,41.477774387616776,13783300,-81.68557790179824,7,150,0,Entire home/apt,0.0
4,True,18,4,16681629,41.52409842229485,9342135,-81.64849210757681,7,250,1,Entire home/apt,0.0
3,True,1,4,72482020,41.4848890098349,13091198,-81.71077414543201,8,889,0,Entire home/apt,0.0
1,False,2,4,79641903,41.49839123426378,13680543,-81.68936135873415,8,399,0,Entire home/apt,0.0
2,False,3,4,76844056,41.49964133043573,13762328,-81.70143999199418,8,3700,0,Entire home/apt,0.0
2,False,4,4,51938418,41.49892514865527,13042604,-81.68566150110345,8,1000,0,Entire home/apt,0.0
2,True,5,4,69540305,41.499445378280754,13732883,-81.70187513531314,8,600,0,Entire home/apt,0.0
2,False,6,4,59722874,41.49319740437276,11386571,-81.70546089986921,8,750,0,Entire home/apt,0.0
3,False,7,4,21134134,41.47869945673224,13013222,-81.68901618823185,8,999,0,Entire home/apt,0.0
3,False,8,4,32089728,41.4993183773686,12017136,-81.70045763906768,8,126,0,Entire home/apt,0.0
2,False,9,4,57275611,41.50114703871376,11037390,-81.70065228723715,8,1429,0,Entire home/apt,0.0
5,False,10,4,53551039,41.490550229712674,11541095,-81.687936484779,8,350,0,Entire home/apt,0.0
2,False,11,4,28179060,41.496889979352666,13031271,-81.70070543612263,8,800,0,Entire home/apt,0.0
4,True,12,4,7640501,41.47960159739604,13560666,-81.6906370878341,8,100,0,Entire home/apt,0.0
1,True,13,4,36034128,41.4852411010969,6879415,-81.73137000905267,8,146,58,Entire home/apt,4.5
2,False,14,4,52925788,41.500211983935316,10288697,-81.69966750806421,8,1500,0,Entire home/apt,0.0
1,False,15,4,45987017,41.49886466188194,13121559,-81.70173784555489,8,425,0,Entire home/apt,0.0
2,False,16,4,1532256,41.4998499008001,12173112,-81.70054669730295,8,1500,0,Entire home/apt,0.0
2,False,17,4,75552685,41.49975694525338,13339709,-81.69068481708841,8,2286,0,Entire home/apt,0.0
2,True,18,4,20931957,41.4809266400057,13881056,-81.68450773746429,8,500,0,Entire home/apt,0.0
2,True,1,4,28458020,41.485656480185924,13842849,-81.70529058499939,9,4000,0,Entire home/apt,0.0
2,False,2,4,59624439,41.50009088483836,11634640,-81.68415012449378,9,2000,0,Entire home/apt,0.0
2,True,3,4,80281292,41.49885660336907,13727934,-81.69972506624043,9,800,0,Entire home/apt,0.0
1,True,4,4,79357946,41.498706555345365,13658168,-81.6878120527176,9,1000,0,Entire home/apt,0.0
2,True,5,4,80738645,41.487604997130994,13772060,-81.71279393599065,9,1500,0,Entire home/apt,0.0
3,True,6,4,61249220,41.47664089689178,13366096,-81.72517980747116,9,400,0,Entire home/apt,0.0
3,False,7,4,75034027,41.509096949888814,13294358,-81.59943370446244,9,300,0,Entire home/apt,0.0
2,True,8,4,77998273,41.49904310491283,13653231,-81.69031248521708,9,500,0,Entire home/apt,0.0
2,False,9,4,75549846,41.49893902698624,13339452,-81.70011280838047,9,425,0,Entire home/apt,0.0
2,False,10,4,42426326,41.47225750877499,13674713,-81.68869169690919,9,250,0,Entire home/apt,0.0
3,False,11,4,77120417,41.47813105472483,13476202,-81.71343454872596,9,1650,0,Entire home/apt,0.0
5,False,12,4,7788753,41.56947980094028,1451391,-81.58372955044264,9,124,58,Entire home/apt,4.0
2,True,13,4,64203110,41.50372336641197,12944974,-81.6754727726033,9,895,0,Entire home/apt,0.0
5,True,14,4,38975886,41.488402825909226,13378315,-81.7601254154303,9,1700,0,Entire home/apt,0.0
2,True,15,4,20931957,41.4809266400057,13881056,-81.68450773746429,9,500,0,Entire home/apt,0.0
1,False,16,4,74835424,41.48418746900255,13390115,-81.59643567447381,9,350,0,Entire home/apt,0.0
4,True,17,4,82557612,41.516700360093296,13914460,-81.6630808156185,9,115,0,Entire home/apt,0.0
2,False,18,4,67747874,41.498262783441746,12510020,-81.70197461017494,9,850,0,Entire home/apt,0.0
2,False,1,4,2757042,41.5141710524467,13282532,-81.60890131983774,10,132,0,Entire home/apt,0.0
4,True,2,4,67836964,41.48699979419198,12523245,-81.71427331613603,10,1250,0,Entire home/apt,0.0
2,True,3,4,46249551,41.4807866253471,13795176,-81.7118123134014,10,600,0,Entire home/apt,0.0
2,True,4,4,56405689,41.47966562192743,13576925,-81.68389311887508,10,325,0,Entire home/apt,0.0
6,False,5,4,6134647,41.485626614962406,12409990,-81.52194995697508,10,750,0,Entire home/apt,0.0
2,False,6,4,38386454,41.42661310504708,8583000,-81.78766990897081,10,105,11,Entire home/apt,4.5
5,False,7,4,68163456,41.48657175312707,12570731,-81.71524489359403,10,450,0,Entire home/apt,0.0
2,False,8,4,44017083,41.49849617096062,12850118,-81.70186681004893,10,800,0,Entire home/apt,0.0
3,False,9,4,73372580,41.49979689968035,13151257,-81.68942098660163,10,1800,0,Entire home/apt,0.0
2,False,10,4,16927209,41.50305128749227,12523048,-81.70091021037398,10,250,0,Entire home/apt,0.0
3,False,11,4,6716252,41.48457142694277,1231639,-81.75480203080467,10,125,94,Entire home/apt,5.0
2,False,12,4,24008782,41.49713294140547,13631272,-81.70129278578304,10,795,0,Entire home/apt,0.0
2,True,13,4,71527858,41.49913789484251,12986630,-81.68649224175391,10,1350,0,Entire home/apt,0.0
5,True,14,4,81063821,41.48684587390556,13810982,-81.71479240841032,10,500,0,Entire home/apt,0.0
2,True,15,4,66800428,41.49935941191324,12365389,-81.68322015570844,10,1000,0,Entire home/apt,0.0
3,True,16,4,1252682,41.488320064029786,6451811,-81.71464143115317,10,550,0,Entire home/apt,0.0
2,True,17,4,51018649,41.498673346786546,9925024,-81.68754124544705,10,1000,0,Entire home/apt,0.0
4,True,18,4,81920903,41.43283794120942,13894457,-81.68802126425814,10,850,0,Entire home/apt,0.0
5,False,1,4,7788753,41.56947980094028,1451391,-81.58372955044264,11,124,58,Entire home/apt,4.0
3,False,2,4,77120417,41.47813105472483,13476202,-81.71343454872596,11,1650,0,Entire home/apt,0.0
4,False,3,4,80504258,41.43913635027616,13748441,-81.61648515413833,11,1600,0,Entire home/apt,0.0
4,False,4,4,12334665,41.4809876581513,9207779,-81.743056251727,11,1800,0,Entire home/apt,0.0
3,False,5,4,63799288,41.50124581367434,12018855,-81.68795972979207,11,5000,0,Entire home/apt,0.0
3,False,6,4,77481245,41.4848439310514,13511796,-81.71908636649161,11,800,0,Entire home/apt,0.0
4,True,7,4,67267500,41.43778554187276,13859193,-81.69153164120814,11,700,0,Entire home/apt,0.0
3,False,8,4,75034027,41.509096949888814,13294358,-81.59943370446244,11,300,0,Entire home/apt,0.0
1,False,9,4,50336854,41.44631413533625,13658089,-81.69835115942006,11,98,0,Entire home/apt,0.0
2,False,10,4,20988943,41.47824237567688,4047843,-81.6851372065876,11,350,0,Entire home/apt,0.0
3,True,11,4,1252682,41.488320064029786,6451811,-81.71464143115317,11,550,0,Entire home/apt,0.0
2,True,12,4,51018649,41.498673346786546,9925024,-81.68754124544705,11,1000,0,Entire home/apt,0.0
2,True,13,4,71126928,41.49990765148054,12948421,-81.69981203639921,11,1000,0,Entire home/apt,0.0
2,False,14,4,25828055,41.498522248891426,13901165,-81.70233032679342,11,499,0,Entire home/apt,0.0
2,False,15,4,33901881,41.501446178920794,6487183,-81.66842810093652,11,120,30,Entire home/apt,4.5
1,False,16,4,78612496,41.50096532939654,13680134,-81.68807501480107,11,500,0,Entire home/apt,0.0
1,True,17,4,77579137,41.498730340085515,13513365,-81.69117124869796,11,900,0,Entire home/apt,0.0
2,True,18,4,34140132,41.48576655857473,13827119,-81.58858629833448,11,875,0,Entire home/apt,0.0
2,False,1,4,52542164,41.49834899128952,13617547,-81.68645105882916,12,795,0,Entire home/apt,0.0
2,False,2,4,64087787,41.5012776674741,11989187,-81.68599762512241,12,850,0,Entire home/apt,0.0
2,True,3,4,33375853,41.500342275364666,13781473,-81.70388465672782,12,1300,0,Entire home/apt,0.0
1,False,4,4,36069159,41.51005977940306,7434133,-81.66350699832341,12,179,1,Entire home/apt,0.0
2,True,5,4,50683822,41.528285659779485,13901160,-81.65619996902154,12,1800,0,Entire home/apt,0.0
2,False,6,4,67979832,41.48547967447187,12545113,-81.73544146102792,12,1850,0,Entire home/apt,0.0
3,False,7,4,27804336,41.50004520243243,12253854,-81.68843729208828,12,5000,0,Entire home/apt,0.0
3,False,8,4,63227792,41.499968416618934,11861724,-81.70139422910069,12,2000,0,Entire home/apt,0.0
2,True,9,4,79372337,41.498460498998625,13658955,-81.69045406075034,12,1000,0,Entire home/apt,0.0
2,False,10,4,24008782,41.49713294140547,13631272,-81.70129278578304,12,795,0,Entire home/apt,0.0
2,False,11,4,50432760,41.506730747522745,12610436,-81.61584744801138,12,975,0,Entire home/apt,0.0
3,False,12,4,71515955,41.482237344919206,12985599,-81.72124871220143,12,800,0,Entire home/apt,0.0
2,False,13,4,2757042,41.5141710524467,13282532,-81.60890131983774,12,132,0,Entire home/apt,0.0
2,True,14,4,53485450,41.49920637739396,13359581,-81.70134427728468,12,570,0,Entire home/apt,0.0
2,True,15,4,28458020,41.485656480185924,13842849,-81.70529058499939,12,4000,0,Entire home/apt,0.0
2,False,16,4,18590644,41.476978729382346,13557113,-81.68846916407703,12,900,0,Entire home/apt,0.0
3,False,17,4,30001967,41.459061222769165,12018353,-81.79927677028337,12,400,0,Entire home/apt,0.0
2,False,18,4,64330761,41.47947603035651,13099641,-81.70766506959646,12,750,0,Entire home/apt,0.0
1,False,1,4,81315971,41.450794394196365,13826561,-81.77560782049842,13,250,0,Entire home/apt,0.0
2,False,2,4,52593030,41.49848623071699,13765606,-81.7000257687963,13,2500,0,Entire home/apt,0.0
2,False,3,4,275947,41.5029135630731,13872247,-81.70317223306613,13,250,0,Entire home/apt,0.0
2,True,4,4,67976995,41.50463738794543,12544747,-81.68641068067768,13,1000,0,Entire home/apt,0.0
4,True,5,4,67836964,41.48699979419198,12523245,-81.71427331613603,13,1250,0,Entire home/apt,0.0
2,True,6,4,80738645,41.487604997130994,13772060,-81.71279393599065,13,1500,0,Entire home/apt,0.0
2,True,7,4,46249551,41.4807866253471,13795176,-81.7118123134014,13,600,0,Entire home/apt,0.0
4,False,8,4,17347945,41.4703121885057,12968954,-81.69176816541055,13,950,0,Entire home/apt,0.0
1,False,9,4,39186746,41.49905353774531,7482757,-81.69096792908516,13,750,0,Entire home/apt,0.0
2,False,10,4,80320784,41.499381084524224,13731155,-81.68887871944939,13,1800,0,Entire home/apt,0.0
3,True,11,4,43845869,41.5048678567995,13578288,-81.68790658698772,13,1786,0,Entire home/apt,0.0
6,False,12,4,6134647,41.485626614962406,12409990,-81.52194995697508,13,750,0,Entire home/apt,0.0
1,True,13,4,26013023,41.577753786243754,12966183,-81.55836053196762,13,220,2,Entire home/apt,0.0
2,True,14,4,51451281,41.493964277407805,13800116,-81.70366192235481,13,1000,0,Entire home/apt,0.0
2,False,15,4,29703868,41.48623605291731,11921785,-81.69761407969516,13,300,0,Entire home/apt,0.0
2,False,16,4,64311998,41.46776678497569,12020057,-81.70591657538593,13,300,0,Entire home/apt,0.0
5,False,17,4,29511952,41.4527437901296,5692325,-81.70747059671216,13,150,27,Entire home/apt,5.0
2,False,18,4,42426326,41.47225750877499,13674713,-81.68869169690919,13,250,0,Entire home/apt,0.0
2,False,1,4,38790892,41.50415175920455,7818097,-81.67420675085752,14,300,11,Entire home/apt,5.0
