date,price,availability,listingID
2016-06-17,115.0,False,5396686
2016-06-14,98.0,True,5396686
2016-06-15,101.0,True,5396686
2016-06-12,115.0,False,5396686
2016-06-13,111.0,False,5396686
2016-06-10,122.0,False,5396686
2016-06-11,122.0,False,5396686
2016-07-02,122.0,False,5396686
2016-05-19,118.0,False,5396686
2016-05-18,101.0,False,5396686
2016-05-17,101.0,False,5396686
2016-05-16,101.0,False,5396686
2016-05-15,110.0,False,5396686
2016-05-14,122.0,False,5396686
2016-05-13,99.0,False,5396686
2016-05-12,99.0,False,5396686
2016-05-11,115.0,False,5396686
2016-05-10,115.0,False,5396686
2016-04-03,115.0,False,5396686
2016-04-02,115.0,False,5396686
2016-04-01,115.0,False,5396686
2016-04-07,103.0,False,5396686
2016-04-06,103.0,False,5396686
2016-04-05,115.0,False,5396686
2016-04-04,115.0,False,5396686
2016-04-09,103.0,False,5396686
2016-04-08,103.0,False,5396686
2016-06-09,115.0,False,5396686
2016-06-08,115.0,False,5396686
2016-06-05,115.0,False,5396686
2016-06-04,115.0,False,5396686
2016-06-07,115.0,False,5396686
2016-06-06,115.0,False,5396686
2016-06-01,107.0,False,5396686
2016-06-03,100.0,True,5396686
2016-06-02,100.0,True,5396686
2016-06-30,115.0,False,5396686
2016-06-27,111.0,True,8151661
2016-06-26,112.0,True,8151661
2016-06-25,111.0,True,8151661
2016-06-24,111.0,True,8151661
2016-06-23,111.0,True,8151661
2016-06-22,111.0,True,8151661
2016-06-21,111.0,True,8151661
2016-06-20,109.0,True,8151661
2016-06-29,111.0,True,8151661
2016-06-28,111.0,True,8151661
2016-03-27,100.0,True,8151661
2016-03-28,100.0,True,8151661
2016-03-29,100.0,False,8151661
2016-05-26,100.0,False,8151661
2016-05-27,100.0,False,8151661
2016-05-24,100.0,False,8151661
2016-05-25,100.0,False,8151661
2016-05-22,100.0,False,8151661
2016-05-23,100.0,False,8151661
2016-05-20,100.0,False,8151661
2016-05-21,100.0,False,8151661
2016-04-30,100.0,False,8151661
2016-05-28,100.0,False,8151661
2016-05-29,100.0,False,8151661
2016-03-31,100.0,False,8151661
2016-03-30,100.0,False,8151661
2016-04-29,100.0,False,8151661
2016-04-28,100.0,False,8151661
2016-05-31,100.0,False,8151661
2016-05-30,100.0,False,8151661
2016-04-21,100.0,True,8151661
2016-04-20,100.0,True,8151661
2016-04-23,100.0,True,8151661
2016-04-22,100.0,True,8151661
2016-04-25,100.0,False,8151661
2016-04-24,100.0,False,8151661
2016-04-27,100.0,False,8151661
2016-04-26,100.0,False,8151661
2016-05-08,100.0,False,8151661
2016-05-09,100.0,False,8151661
2016-07-01,111.0,True,8151661
2016-05-01,100.0,False,8151661
2016-05-02,100.0,False,8151661
2016-05-03,100.0,False,8151661
2016-05-04,100.0,False,8151661
2016-05-05,100.0,False,8151661
2016-05-06,100.0,False,8151661
2016-05-07,95.0,True,8151661
2016-04-18,100.0,False,8151661
2016-04-19,100.0,False,8151661
2016-04-14,100.0,False,8151661
2016-04-15,100.0,False,8151661
2016-04-16,100.0,False,8151661
2016-04-17,100.0,False,8151661
2016-04-10,100.0,False,8151661
2016-04-11,100.0,False,8151661
2016-04-12,100.0,False,8151661
2016-04-13,100.0,False,8151661
2016-06-18,109.0,True,8151661
2016-06-19,109.0,True,8151661
2016-06-16,106.0,False,8151661
2016-06-17,104.0,True,8151661
2016-06-14,103.0,False,8151661
2016-06-15,103.0,False,8151661
2016-06-12,106.0,False,8151661
2016-06-13,103.0,False,8151661
2016-06-10,95.0,False,8151661
2016-06-11,106.0,False,8151661
2016-07-02,111.0,True,8151661
2016-05-19,100.0,False,8151661
2016-05-18,100.0,False,8151661
2016-05-17,100.0,False,8151661
2016-05-16,100.0,False,8151661
2016-05-15,100.0,False,8151661
2016-05-14,100.0,False,8151661
2016-05-13,100.0,False,8151661
2016-05-12,100.0,False,8151661
2016-05-11,100.0,False,8151661
2016-05-10,100.0,False,8151661
2016-04-03,100.0,False,8151661
2016-04-02,100.0,False,8151661
2016-04-01,100.0,False,8151661
2016-04-07,100.0,False,8151661
2016-04-06,100.0,False,8151661
2016-04-05,100.0,False,8151661
2016-04-04,100.0,False,8151661
2016-04-09,100.0,False,8151661
2016-04-08,100.0,False,8151661
2016-06-09,100.0,False,8151661
2016-06-08,100.0,False,8151661
2016-06-05,100.0,False,8151661
2016-06-04,100.0,False,8151661
2016-06-07,100.0,False,8151661
2016-06-06,100.0,False,8151661
2016-06-01,100.0,False,8151661
2016-06-03,100.0,False,8151661
2016-06-02,100.0,False,8151661
2016-06-30,112.0,True,8151661
2016-06-27,125.0,True,4358898
2016-06-26,150.0,True,4358898
2016-06-25,150.0,False,4358898
2016-06-24,150.0,True,4358898
2016-06-23,125.0,True,4358898
2016-06-22,125.0,True,4358898
2016-06-21,125.0,True,4358898
2016-06-20,125.0,True,4358898
2016-06-29,125.0,True,4358898
2016-06-28,125.0,True,4358898
2016-03-27,125.0,True,4358898
2016-03-28,125.0,False,4358898
2016-03-29,125.0,False,4358898
2016-05-26,125.0,True,4358898
2016-05-27,150.0,True,4358898
2016-05-24,125.0,False,4358898
2016-05-25,125.0,False,4358898
2016-05-22,125.0,True,4358898
2016-05-23,125.0,False,4358898
2016-05-20,150.0,False,4358898
2016-05-21,150.0,False,4358898
2016-04-30,150.0,False,4358898
2016-05-28,150.0,True,4358898
2016-05-29,125.0,False,4358898
2016-03-31,125.0,True,4358898
2016-03-30,125.0,True,4358898
2016-04-29,150.0,False,4358898
2016-04-28,125.0,True,4358898
2016-05-31,125.0,True,4358898
2016-05-30,125.0,True,4358898
2016-04-21,125.0,True,4358898
2016-04-20,125.0,False,4358898
2016-04-23,150.0,False,4358898
2016-04-22,150.0,True,4358898
2016-04-25,125.0,False,4358898
2016-04-24,125.0,False,4358898
2016-04-27,125.0,True,4358898
2016-04-26,125.0,False,4358898
2016-05-08,125.0,False,4358898
2016-05-09,125.0,False,4358898
2016-07-01,150.0,False,4358898
2016-05-01,125.0,True,4358898
2016-05-02,125.0,True,4358898
2016-05-03,125.0,True,4358898
2016-05-04,125.0,True,4358898
2016-05-05,125.0,True,4358898
2016-05-06,150.0,True,4358898
2016-05-07,150.0,False,4358898
2016-04-18,125.0,True,4358898
2016-04-19,125.0,True,4358898
2016-04-14,125.0,True,4358898
2016-04-15,150.0,False,4358898
2016-04-16,150.0,False,4358898
2016-04-17,125.0,True,4358898
2016-04-10,125.0,True,4358898
2016-04-11,125.0,True,4358898
2016-04-12,125.0,True,4358898
2016-04-13,125.0,True,4358898
2016-06-18,150.0,False,4358898
2016-06-19,125.0,True,4358898
2016-06-16,125.0,True,4358898
2016-06-17,150.0,True,4358898
2016-06-14,125.0,True,4358898
2016-06-15,125.0,True,4358898
2016-06-12,125.0,True,4358898
2016-06-13,125.0,True,4358898
2016-06-10,150.0,False,4358898
2016-06-11,150.0,False,4358898
2016-07-02,150.0,True,4358898
2016-05-19,125.0,False,4358898
2016-05-18,125.0,False,4358898
2016-05-17,125.0,False,4358898
2016-05-16,125.0,False,4358898
2016-05-15,125.0,False,4358898
2016-05-14,150.0,False,4358898
2016-05-13,150.0,False,4358898
2016-05-12,125.0,True,4358898
2016-05-11,125.0,True,4358898
2016-05-10,125.0,True,4358898
2016-04-03,125.0,False,4358898
2016-04-02,150.0,False,4358898
2016-04-01,150.0,False,4358898
2016-04-07,125.0,True,4358898
2016-04-06,125.0,True,4358898
2016-04-05,125.0,True,4358898
2016-04-04,125.0,False,4358898
2016-04-09,150.0,False,4358898
2016-04-08,150.0,True,4358898
2016-06-09,125.0,True,4358898
2016-06-08,125.0,True,4358898
2016-06-05,125.0,False,4358898
2016-06-04,150.0,False,4358898
2016-06-07,125.0,True,4358898
2016-06-06,125.0,True,4358898
2016-06-01,125.0,True,4358898
2016-06-03,150.0,False,4358898
2016-06-02,125.0,False,4358898
2016-06-30,125.0,True,4358898
2016-06-27,110.0,False,9170112
2016-06-26,110.0,False,9170112
2016-06-25,110.0,False,9170112
2016-06-24,110.0,False,9170112
2016-06-23,110.0,False,9170112
2016-06-22,110.0,False,9170112
2016-06-21,110.0,False,9170112
2016-06-20,110.0,False,9170112
2016-06-29,110.0,False,9170112
2016-06-28,110.0,False,9170112
2016-03-27,98.0,False,9170112
2016-03-28,110.0,False,9170112
2016-03-29,110.0,False,9170112
2016-05-26,110.0,False,9170112
2016-05-27,110.0,False,9170112
2016-05-24,110.0,False,9170112
2016-05-25,110.0,False,9170112
2016-05-22,110.0,False,9170112
2016-05-23,110.0,False,9170112
2016-05-20,110.0,False,9170112
2016-05-21,110.0,False,9170112
2016-04-30,110.0,False,9170112
2016-05-28,110.0,False,9170112
2016-05-29,110.0,False,9170112
2016-03-31,110.0,False,9170112
2016-03-30,110.0,False,9170112
2016-04-29,110.0,False,9170112
2016-04-28,110.0,False,9170112
2016-05-31,110.0,False,9170112
2016-05-30,110.0,False,9170112
2016-04-21,110.0,False,9170112
2016-04-20,110.0,False,9170112
2016-04-23,98.0,False,9170112
2016-04-22,98.0,False,9170112
2016-04-25,110.0,False,9170112
2016-04-24,98.0,False,9170112
2016-04-27,110.0,False,9170112
2016-04-26,110.0,False,9170112
2016-05-08,110.0,False,9170112
2016-05-09,110.0,False,9170112
2016-07-01,110.0,False,9170112
2016-05-01,110.0,False,9170112
2016-05-02,110.0,False,9170112
2016-05-03,110.0,False,9170112
2016-05-04,110.0,False,9170112
2016-05-05,110.0,False,9170112
2016-05-06,110.0,False,9170112
2016-05-07,110.0,False,9170112
2016-04-18,110.0,False,9170112
2016-04-19,110.0,False,9170112
2016-04-14,110.0,False,9170112
2016-04-15,110.0,True,9170112
